,Train_Loss,Train Accuracy,Validation Accuracy,Test Accuracy
0,1.7918948941760593,0.19444444444444445,0.125,0.125
1,1.7904224369261,0.19444444444444445,0.125,0.125
2,1.7890642166137696,0.19444444444444445,0.125,0.125
3,1.7878238413068983,0.19444444444444445,0.125,0.125
4,1.7865347067515056,0.19444444444444445,0.125,0.125
5,1.7851396136813693,0.19444444444444445,0.125,0.125
6,1.7837003019120958,0.19444444444444445,0.125,0.125
7,1.7820129659440782,0.19444444444444445,0.125,0.125
8,1.7798293272654215,0.19444444444444445,0.125,0.125
9,1.7771571503745185,0.19444444444444445,0.125,0.125
10,1.7741073767344158,0.19444444444444445,0.13333333333333333,0.125
11,1.7703604406780666,0.2,0.13333333333333333,0.125
12,1.766237529118856,0.20277777777777778,0.14166666666666666,0.125
13,1.7614628209008112,0.2111111111111111,0.15,0.14166666666666666
14,1.756045977274577,0.21388888888888888,0.15,0.15
15,1.7499050749672784,0.21388888888888888,0.15,0.15
16,1.7434614843792386,0.21666666666666667,0.15833333333333333,0.15
17,1.7364893224504259,0.21944444444444444,0.16666666666666666,0.16666666666666666
18,1.7288072850969103,0.21944444444444444,0.16666666666666666,0.15
19,1.7211277855767144,0.22777777777777777,0.16666666666666666,0.15
20,1.7127213610543146,0.21944444444444444,0.175,0.175
21,1.7033702188067965,0.21944444444444444,0.175,0.175
22,1.6923563030030992,0.225,0.175,0.16666666666666666
23,1.681851938035753,0.22777777777777777,0.18333333333333332,0.16666666666666666
24,1.6724872324201796,0.25,0.20833333333333334,0.15833333333333333
25,1.6625407086478339,0.2777777777777778,0.21666666666666667,0.175
26,1.6532499631245932,0.2722222222222222,0.21666666666666667,0.16666666666666666
27,1.6436406824323866,0.275,0.225,0.2
28,1.6346041096581354,0.2861111111111111,0.25833333333333336,0.2
29,1.625121874279446,0.2861111111111111,0.25,0.21666666666666667
30,1.6162033955256143,0.28888888888888886,0.25,0.21666666666666667
31,1.608939954969618,0.3055555555555556,0.25833333333333336,0.25
32,1.5998546573850843,0.32222222222222224,0.25,0.24166666666666667
33,1.5927099916670058,0.3416666666666667,0.24166666666666667,0.225
34,1.5837036927541097,0.3388888888888889,0.26666666666666666,0.23333333333333334
35,1.5747652265760634,0.34444444444444444,0.2833333333333333,0.24166666666666667
36,1.5722643719779121,0.34444444444444444,0.2833333333333333,0.25833333333333336
37,1.5636997752719455,0.35555555555555557,0.2916666666666667,0.275
38,1.5562446541256374,0.36944444444444446,0.2833333333333333,0.275
39,1.5511276642481486,0.37777777777777777,0.2833333333333333,0.2916666666666667
40,1.54829859468672,0.37222222222222223,0.2833333333333333,0.2916666666666667
41,1.540918591287401,0.37222222222222223,0.2916666666666667,0.2916666666666667
42,1.5315965943866305,0.37222222222222223,0.2916666666666667,0.30833333333333335
43,1.5281677458021377,0.37777777777777777,0.2916666666666667,0.30833333333333335
44,1.5202985445658366,0.375,0.3,0.30833333333333335
45,1.5140592813491822,0.37222222222222223,0.30833333333333335,0.3
